l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.139921 0.097589 0.491272 0.054348 0.435256 0.584795 0.437500 0.524272
0.139921 0.074627 0.538653 0.054348 0.435256 0.584795 0.500000 0.640777
0.139921 0.074627 0.538653 0.054348 0.435256 0.584795 0.562500 0.747573
0.139921 0.051665 0.630923 0.054348 0.435256 0.584795 0.708333 0.514563
0.128854 0.056257 0.581047 0.054348 0.435256 0.584795 0.604167 0.786408
0.131225 0.061998 0.591022 0.054348 0.435256 0.584795 0.395833 0.543689
0.116996 0.030999 0.526185 0.058696 0.342764 0.216374 0.708333 0.398058
0.139921 0.051665 0.551122 0.069565 0.390642 0.181287 0.562500 0.582524
0.135968 0.033295 0.536160 0.072826 0.356910 0.263158 0.583333 0.572816
0.134387 0.033295 0.531172 0.061957 0.343852 0.000000 0.729167 0.601942
