l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.330759 0.760673 0.716374 0.356164 0.769000 0.428571 0.421053 0.579710
0.314028 0.707633 0.751462 0.383562 0.714000 0.477679 0.385965 0.507246
0.308237 0.697283 0.701754 0.335616 1.000000 1.000000 0.350877 0.420290
0.216860 0.663648 0.657895 0.205479 1.000000 0.299107 0.298246 0.681159
0.213642 0.673997 0.608187 0.417808 0.820000 0.000000 0.263158 0.289855
0.232947 0.671410 0.622807 0.438356 0.813000 0.071429 0.350877 0.463768
0.250322 0.662354 0.710526 0.356164 0.788000 0.000000 0.561404 0.913043
0.279279 0.628719 0.745614 0.458904 0.761000 0.000000 0.403509 0.478261
0.314028 0.633894 0.792398 0.479452 0.757000 0.000000 0.456140 0.347826
0.344916 0.583441 0.824561 0.493151 0.736000 0.000000 0.385965 0.304348
